Date,Open,High,Low,Close,Adj Close,Volume
2018-10-19,22342.000000,22551.669922,22212.570313,22532.080078,22532.080078,67400
2018-10-22,22374.210938,22672.250000,22271.589844,22614.820313,22614.820313,63000
2018-10-23,22404.140625,22410.150391,21993.070313,22010.779297,22010.779297,80200
2018-10-24,22167.759766,22207.089844,21911.419922,22091.179688,22091.179688,83900
2018-10-25,21676.830078,21703.210938,21204.400391,21268.730469,21268.730469,93600
2018-10-26,21440.839844,21476.660156,20971.929688,21184.599609,21184.599609,92900
2018-10-29,21323.609375,21465.990234,21109.970703,21149.800781,21149.800781,70800
2018-10-30,21049.519531,21568.400391,21035.880859,21457.289063,21457.289063,116900
2018-10-31,21569.560547,21920.460938,21530.390625,21920.460938,21920.460938,105000
2018-11-01,21906.410156,21906.410156,21628.449219,21687.650391,21687.650391,101900
2018-11-02,21761.580078,22308.419922,21751.330078,22243.660156,22243.660156,101900
2018-11-05,22002.470703,22051.650391,21865.980469,21898.990234,21898.990234,78700
2018-11-06,22018.869141,22160.830078,21994.279297,22147.750000,22147.750000,0
2018-11-07,22189.740234,22444.650391,21996.939453,22085.800781,22085.800781,96300
2018-11-08,22446.009766,22583.429688,22421.000000,22486.919922,22486.919922,81900
2018-11-09,22471.310547,22494.580078,22226.009766,22250.250000,22250.250000,78100
2018-11-12,22121.699219,22324.009766,22046.289063,22269.880859,22269.880859,59300
2018-11-13,21885.240234,21892.289063,21484.650391,21810.519531,21810.519531,85700
2018-11-14,21851.130859,21990.410156,21764.880859,21846.480469,21846.480469,75200
2018-11-15,21670.349609,21818.730469,21613.529297,21803.619141,21803.619141,0
2018-11-16,21804.900391,21873.740234,21663.990234,21680.339844,21680.339844,74900
2018-11-19,21679.029297,21852.919922,21665.289063,21821.160156,21821.160156,72100
2018-11-20,21582.689453,21687.119141,21526.949219,21583.119141,21583.119141,82500
2018-11-21,21286.810547,21555.609375,21243.380859,21507.539063,21507.539063,77300
2018-11-22,21582.470703,21684.640625,21484.980469,21646.550781,21646.550781,65900
2018-11-23,null,null,null,null,null,null
2018-11-26,21647.689453,21838.099609,21622.599609,21812.000000,21812.000000,78000
2018-11-27,21967.980469,22006.830078,21816.050781,21952.400391,21952.400391,74000
2018-11-28,22036.720703,22216.980469,22032.720703,22177.019531,22177.019531,77600
2018-11-29,22360.980469,22437.949219,22241.169922,22262.599609,22262.599609,69300
2018-11-30,22274.970703,22362.199219,22231.960938,22351.060547,22351.060547,104100
2018-12-03,22629.390625,22698.789063,22550.289063,22574.759766,22574.759766,70500
2018-12-04,22533.970703,22576.619141,22033.410156,22036.050781,22036.050781,89600
2018-12-05,21755.169922,21979.179688,21708.820313,21919.330078,21919.330078,83700
2018-12-06,21766.500000,21805.019531,21307.720703,21501.619141,21501.619141,87600
