Date,Open,High,Low,Close,Adj Close,Volume
2018-02-15,270.250000,277.399994,262.399994,265.350006,265.350006,9064245
2018-02-16,268.200012,270.250000,246.500000,251.500000,251.500000,13825697
2018-02-19,254.250000,254.800003,242.699997,250.000000,250.000000,10383315
2018-02-20,250.949997,255.800003,246.050003,252.000000,252.000000,10140175
2018-02-21,254.149994,254.800003,243.050003,247.300003,247.300003,8618601
2018-02-22,246.000000,252.199997,243.600006,250.250000,250.250000,9863538
2018-02-23,251.000000,266.000000,250.300003,265.000000,265.000000,13491018
2018-02-26,267.899994,270.700012,264.600006,267.450012,267.450012,7464313
2018-02-27,267.450012,269.950012,263.049988,264.049988,264.049988,5409534
2018-02-28,261.000000,262.200012,252.899994,254.399994,254.399994,9436525
2018-03-01,252.500000,258.200012,246.000000,248.850006,248.850006,6401382
2018-03-05,246.250000,246.250000,228.899994,238.050003,238.050003,19294475
2018-03-06,242.250000,248.350006,231.550003,233.649994,233.649994,15121389
2018-03-07,232.000000,236.699997,228.000000,231.850006,231.850006,14250354
2018-03-08,235.399994,237.399994,222.850006,234.699997,234.699997,12164822
2018-03-09,237.500000,237.500000,220.550003,222.250000,222.250000,16358023
2018-03-12,224.800003,232.750000,221.100006,230.399994,230.399994,12273881
2018-03-13,230.649994,236.100006,227.149994,229.899994,229.899994,9704491
2018-03-14,227.300003,232.800003,227.199997,230.250000,230.250000,6233404
2018-03-15,230.300003,234.000000,229.000000,230.699997,230.699997,6442807
2018-03-16,230.000000,232.199997,224.050003,226.199997,226.199997,7506230
2018-03-19,227.000000,227.300003,217.800003,220.949997,220.949997,8793211
2018-03-20,217.899994,236.199997,217.600006,233.550003,233.550003,21033261
2018-03-21,234.750000,236.199997,229.300003,230.600006,230.600006,10401329
2018-03-22,231.699997,231.699997,223.050003,224.899994,224.899994,7558038
2018-03-23,218.000000,218.699997,205.199997,213.750000,213.750000,19683008
2018-03-26,214.949997,219.899994,209.649994,216.949997,216.949997,11094083
2018-03-27,221.850006,233.000000,220.149994,229.750000,229.750000,15430010
2018-03-28,226.649994,226.899994,217.500000,219.100006,219.100006,9513723
2018-04-02,221.600006,226.949997,218.550003,225.000000,225.000000,7671856
2018-04-03,222.000000,230.399994,222.000000,229.399994,229.399994,8768416
2018-04-04,231.899994,233.750000,218.000000,219.600006,219.600006,11028147
2018-04-05,224.949997,237.350006,224.850006,235.899994,235.899994,16750562
2018-04-06,235.000000,241.800003,233.149994,240.050003,240.050003,15129804
2018-04-09,243.000000,244.449997,240.850006,242.899994,242.899994,9295906
2018-04-10,246.000000,247.250000,242.699997,244.899994,244.899994,8406808
2018-04-11,247.449997,250.800003,245.850006,247.800003,247.800003,9287590
2018-04-12,246.800003,247.050003,242.000000,243.750000,243.750000,6181008
2018-04-13,245.000000,253.000000,244.000000,251.149994,251.149994,10828596
2018-04-16,251.000000,256.799988,249.350006,254.199997,254.199997,7505413
2018-04-17,255.500000,256.700012,250.600006,251.850006,251.850006,5240700
