Date,Open,High,Low,Close,Adj Close,Volume
2018-02-15,565.400024,584.950012,565.400024,575.750000,565.149231,10715444
2018-02-16,575.400024,577.549988,563.349976,575.250000,564.658447,6640151
2018-02-19,575.000000,577.250000,553.549988,561.400024,551.063477,3518880
2018-02-20,564.650024,566.650024,557.000000,559.500000,549.198486,2481944
2018-02-21,560.049988,563.000000,511.299988,525.750000,516.069885,21898950
2018-02-22,527.500000,547.000000,524.000000,541.450012,531.480835,12473655
2018-02-23,550.000000,575.250000,546.000000,569.650024,559.161621,30844893
2018-02-26,570.000000,571.900024,553.349976,555.950012,545.713806,8083731
2018-02-27,555.950012,563.450012,542.049988,544.799988,534.769104,6920945
2018-02-28,543.000000,552.349976,532.650024,535.349976,525.493103,8366660
2018-03-01,537.950012,541.500000,533.250000,535.400024,525.542236,4264631
2018-03-05,535.099976,552.700012,527.049988,548.549988,538.450134,7343286
2018-03-06,561.000000,563.000000,530.000000,531.750000,521.959412,9825945
2018-03-07,532.000000,534.150024,520.099976,524.849976,515.186401,6282066
2018-03-08,529.700012,530.500000,509.500000,514.599976,505.125153,9316674
2018-03-09,514.000000,519.900024,505.000000,506.799988,497.468781,4996423
2018-03-12,511.000000,516.000000,506.549988,512.650024,503.211121,4632925
2018-03-13,512.650024,525.500000,512.650024,523.299988,513.664978,4795084
2018-03-14,523.299988,523.299988,516.099976,520.099976,510.523895,2469628
2018-03-15,520.000000,529.000000,514.750000,516.450012,506.941101,3013808
2018-03-16,512.049988,522.000000,501.299988,503.049988,493.787842,8924919
2018-03-19,506.799988,508.549988,496.000000,497.649994,488.487274,5580228
2018-03-20,496.750000,511.000000,493.750000,508.750000,499.382874,4615574
2018-03-21,513.950012,515.599976,502.549988,504.500000,495.211121,3986735
2018-03-22,520.000000,521.000000,505.100006,508.399994,499.039337,8691889
2018-03-23,501.799988,506.750000,497.549988,502.399994,493.149811,5098042
2018-03-26,502.399994,506.899994,496.100006,503.200012,493.935089,4203954
2018-03-27,506.000000,512.250000,503.200012,505.100006,495.800110,4458072
2018-03-28,504.000000,504.700012,492.000000,495.100006,485.984222,6856832
2018-04-02,500.899994,510.000000,496.049988,507.850006,498.499481,2924481
2018-04-03,506.000000,512.200012,504.500000,510.000000,500.609863,2709038
2018-04-04,514.950012,514.950012,501.000000,502.250000,493.002533,3120925
2018-04-05,506.000000,513.000000,505.100006,507.549988,498.204956,2409577
2018-04-06,508.000000,515.299988,507.000000,512.599976,503.161987,2772128
2018-04-09,512.000000,517.750000,507.350006,510.850006,501.444244,2395291
2018-04-10,512.400024,515.900024,507.500000,508.250000,498.892120,2645876
2018-04-11,511.000000,522.900024,510.299988,521.450012,511.849060,5693850
2018-04-12,521.500000,521.500000,509.600006,515.900024,506.401276,3619891
2018-04-13,514.599976,519.799988,510.299988,513.000000,503.554657,2130074
2018-04-16,513.000000,521.000000,511.500000,519.400024,509.836853,2687330
2018-04-17,521.900024,521.900024,510.500000,512.150024,502.720306,3104869
2018-04-18,514.349976,517.400024,510.649994,512.000000,502.573059,2412444
2018-04-19,515.000000,515.000000,506.350006,509.200012,499.824585,1936774
2018-04-20,509.000000,509.000000,502.000000,505.299988,495.996368,4431085
2018-04-23,505.000000,515.500000,505.000000,514.250000,504.781616,2424057
2018-04-24,515.900024,523.500000,512.500000,517.799988,508.266235,3432552
2018-04-25,514.500000,521.450012,511.200012,514.049988,504.585297,2112975
2018-04-26,514.000000,522.700012,511.299988,512.599976,503.161987,3304748
2018-04-27,517.500000,526.400024,515.250000,524.150024,514.499329,3998704
2018-04-30,528.000000,530.950012,525.099976,528.400024,518.671143,1689385
2018-05-02,530.000000,530.750000,510.450012,515.200012,505.714111,5805988
2018-05-03,517.000000,539.299988,511.649994,536.000000,526.131104,7457111
2018-05-04,530.000000,533.000000,516.400024,517.950012,508.413513,5429919
2018-05-07,518.000000,520.000000,506.500000,513.700012,504.241760,3837196
2018-05-08,514.000000,519.250000,508.600006,511.450012,502.033203,2519096
2018-05-09,511.450012,514.799988,505.200012,506.149994,496.830719,2477607
2018-05-10,508.000000,509.250000,495.299988,497.200012,488.045593,4218689
2018-05-11,494.000000,496.149994,467.750000,472.049988,463.358643,9906203
2018-05-14,473.000000,487.799988,472.000000,473.799988,465.076385,6746471
2018-05-15,474.000000,480.000000,459.000000,468.649994,460.021210,5493167
2018-05-16,466.000000,473.000000,462.500000,471.700012,463.015076,4675165
2018-05-17,473.000000,486.000000,468.350006,479.850006,471.015015,5939278
2018-05-18,488.950012,488.950012,462.850006,464.899994,456.340240,8722402
2018-05-21,464.200012,465.000000,440.299988,443.750000,435.579651,5809871
2018-05-22,444.850006,456.000000,435.000000,453.000000,444.659393,4466739
2018-05-23,454.000000,461.500000,449.450012,452.250000,443.923157,4549341
2018-05-24,454.899994,469.700012,451.450012,462.850006,454.328003,6237036
2018-05-25,465.500000,469.399994,456.000000,466.450012,457.861755,4971624
2018-05-28,485.000000,504.950012,480.000000,499.700012,490.499512,16007675
2018-05-29,496.600006,509.950012,490.049988,499.500000,490.303223,8258927
