Date,Open,High,Low,Close,Adj Close,Volume
2018-02-15,10537.900391,10618.099609,10511.049805,10545.500000,10545.500000,210600
2018-02-16,10596.200195,10612.900391,10434.049805,10452.299805,10452.299805,184300
2018-02-19,10488.900391,10489.349609,10302.750000,10378.400391,10378.400391,187300
2018-02-20,10391.000000,10429.349609,10347.650391,10360.400391,10360.400391,187700
2018-02-21,10426.000000,10426.099609,10349.599609,10397.450195,10397.450195,234100
2018-02-22,10354.349609,10397.549805,10340.650391,10382.700195,10382.700195,313600
2018-02-23,10408.099609,10499.099609,10396.650391,10491.049805,10491.049805,210600
2018-02-26,10526.549805,10592.950195,10520.200195,10582.599609,10582.599609,171900
2018-02-27,10615.200195,10631.650391,10537.250000,10554.299805,10554.299805,187500
2018-02-28,10488.950195,10535.500000,10461.549805,10492.849609,10492.849609,286000
2018-03-01,10479.950195,10525.500000,10447.150391,10458.349609,10458.349609,176000
2018-03-05,10428.299805,10428.700195,10323.900391,10358.849609,10358.849609,194000
2018-03-06,10420.500000,10441.349609,10215.900391,10249.250000,10249.250000,222900
2018-03-07,10232.950195,10243.349609,10141.549805,10154.200195,10154.200195,249500
2018-03-08,10216.250000,10270.349609,10146.400391,10242.650391,10242.650391,226400
2018-03-09,10271.299805,10296.700195,10211.900391,10226.849609,10226.849609,186500
2018-03-12,10301.599609,10433.650391,10295.450195,10421.400391,10421.400391,216400
2018-03-13,10389.500000,10478.599609,10377.849609,10426.849609,10426.849609,266700
2018-03-14,10393.049805,10420.349609,10336.299805,10410.900391,10410.900391,181400
2018-03-15,10405.450195,10420.000000,10346.200195,10360.150391,10360.150391,173900
2018-03-16,10345.150391,10346.299805,10180.250000,10195.150391,10195.150391,328500
2018-03-19,10215.349609,10224.549805,10075.299805,10094.250000,10094.250000,210200
2018-03-20,10051.549805,10155.650391,10049.099609,10124.349609,10124.349609,203000
2018-03-21,10181.950195,10227.299805,10132.950195,10155.250000,10155.250000,204800
2018-03-22,10167.500000,10207.849609,10105.400391,10114.750000,10114.750000,230500
2018-03-23,9968.799805,10027.700195,9951.900391,9998.049805,9998.049805,285700
2018-03-26,9989.150391,10143.500000,9958.549805,10130.650391,10130.650391,262600
2018-03-27,10188.000000,10207.900391,10139.650391,10184.150391,10184.150391,225700
2018-03-28,10143.599609,10158.349609,10096.900391,10113.700195,10113.700195,344400
2018-04-02,10151.650391,10220.099609,10127.750000,10211.799805,10211.799805,225400
2018-04-03,10186.849609,10255.349609,10171.049805,10245.000000,10245.000000,205300
2018-04-04,10274.599609,10279.849609,10111.299805,10128.400391,10128.400391,231100
2018-04-05,10228.450195,10331.799805,10227.450195,10325.150391,10325.150391,236800
2018-04-06,10322.750000,10350.450195,10290.849609,10331.599609,10331.599609,200200
2018-04-09,10333.700195,10397.700195,10328.500000,10379.349609,10379.349609,221600
2018-04-10,10412.900391,10424.849609,10381.500000,10402.250000,10402.250000,251700
2018-04-11,10428.150391,10428.150391,10355.599609,10417.150391,10417.150391,250400
2018-04-12,10410.650391,10469.900391,10395.250000,10458.650391,10458.650391,238600
2018-04-13,10495.299805,10519.900391,10451.450195,10480.599609,10480.599609,213100
2018-04-16,10398.299805,10540.150391,10396.349609,10528.349609,10528.349609,195000
2018-04-17,10557.299805,10560.450195,10495.650391,10548.700195,10548.700195,206100
2018-04-18,10578.900391,10594.200195,10509.700195,10526.200195,10526.200195,205400
2018-04-19,10563.650391,10572.200195,10546.200195,10565.299805,10565.299805,262600
2018-04-20,10560.349609,10582.349609,10527.450195,10564.049805,10564.049805,244600
2018-04-23,10592.799805,10638.349609,10514.950195,10584.700195,10584.700195,194200
2018-04-24,10578.099609,10636.799805,10569.000000,10614.349609,10614.349609,219200
2018-04-25,10612.400391,10612.599609,10536.450195,10570.549805,10570.549805,189200
2018-04-26,10586.500000,10628.400391,10559.650391,10617.799805,10617.799805,335100
2018-04-27,10651.650391,10719.799805,10647.549805,10692.299805,10692.299805,0
2018-04-30,10705.750000,10759.000000,10704.599609,10739.349609,10739.349609,173800
2018-05-02,10783.849609,10784.650391,10689.799805,10718.049805,10718.049805,229700
2018-05-03,10720.150391,10720.599609,10647.450195,10679.650391,10679.650391,185200
2018-05-04,10700.450195,10700.450195,10601.599609,10618.250000,10618.250000,186500
2018-05-07,10653.150391,10725.650391,10635.650391,10715.500000,10715.500000,168400
2018-05-08,10757.900391,10758.549805,10689.400391,10717.799805,10717.799805,269800
2018-05-09,10693.349609,10766.250000,10689.849609,10741.700195,10741.700195,215400
2018-05-10,10779.650391,10785.549805,10705.000000,10716.549805,10716.549805,192100
2018-05-11,10741.950195,10812.049805,10724.450195,10806.500000,10806.500000,203100
2018-05-14,10815.150391,10834.849609,10774.750000,10806.599609,10806.599609,171400
2018-05-15,10812.599609,10929.200195,10781.400391,10801.849609,10801.849609,254300
2018-05-16,10751.950195,10790.450195,10699.700195,10741.099609,10741.099609,231100
2018-05-17,10775.599609,10777.250000,10664.500000,10682.700195,10682.700195,214100
2018-05-18,10671.849609,10674.950195,10589.099609,10596.400391,10596.400391,223000
2018-05-21,10616.700195,10621.700195,10505.799805,10516.700195,10516.700195,0
2018-05-22,10518.450195,10558.599609,10490.549805,10536.700195,10536.700195,241700
2018-05-23,10521.099609,10533.549805,10417.799805,10430.349609,10430.349609,290900
2018-05-24,10464.849609,10535.150391,10419.799805,10513.849609,10513.849609,297600
2018-05-25,10533.049805,10628.049805,10524.000000,10605.150391,10605.150391,260800
2018-05-28,10648.349609,10709.799805,10640.549805,10688.650391,10688.650391,232600
2018-05-29,10689.400391,10717.250000,10616.099609,10633.299805,10633.299805,225800
2018-05-30,10579.000000,10648.700195,10558.450195,10614.349609,10614.349609,238700
2018-05-31,10670.099609,10763.799805,10620.400391,10736.150391,10736.150391,610300
2018-06-01,10738.450195,10764.750000,10681.500000,10696.200195,10696.200195,220600
2018-06-04,10765.950195,10770.299805,10618.349609,10628.500000,10628.500000,203800
2018-06-05,10630.700195,10633.150391,10550.900391,10593.150391,10593.150391,167700
2018-06-06,10603.450195,10698.349609,10587.500000,10684.650391,10684.650391,189900
2018-06-07,10722.599609,10818.000000,10722.599609,10768.349609,10768.349609,220900
2018-06-08,10736.400391,10779.450195,10709.049805,10767.650391,10767.650391,209400
2018-06-11,10781.849609,10850.549805,10777.049805,10786.950195,10786.950195,211400
2018-06-12,10816.150391,10856.549805,10789.400391,10842.849609,10842.849609,198300
2018-06-13,10887.500000,10893.250000,10842.650391,10856.700195,10856.700195,213400
2018-06-14,10832.900391,10833.700195,10773.549805,10808.049805,10808.049805,184300
2018-06-15,10808.650391,10834.000000,10755.400391,10817.700195,10817.700195,305400
2018-06-18,10830.200195,10830.200195,10787.349609,10799.849609,10799.849609,196600
2018-06-19,10789.450195,10789.450195,10701.200195,10710.450195,10710.450195,224500
2018-06-20,10734.650391,10781.799805,10724.049805,10772.049805,10772.049805,193500
2018-06-21,10808.450195,10809.599609,10725.900391,10741.099609,10741.099609,223600
2018-06-22,10742.700195,10837.000000,10710.450195,10821.849609,10821.849609,229800
2018-06-25,10822.900391,10831.049805,10753.049805,10762.450195,10762.450195,229600
2018-06-26,10742.700195,10805.250000,10732.549805,10769.150391,10769.150391,220000
2018-06-27,10785.500000,10785.500000,10652.400391,10671.400391,10671.400391,246000
2018-06-28,10660.799805,10674.200195,10557.700195,10589.099609,10589.099609,352300
2018-06-29,10612.849609,10723.049805,10612.349609,10714.299805,10714.299805,242800
2018-07-02,10732.349609,10736.150391,10604.650391,10657.299805,10657.299805,295400
2018-07-03,10668.599609,10713.299805,10630.250000,10699.900391,10699.900391,202100
2018-07-04,10715.000000,10777.150391,10677.750000,10769.900391,10769.900391,173900
2018-07-05,10786.049805,10786.049805,10726.250000,10749.750000,10749.750000,220500
2018-07-06,10744.150391,10816.349609,10735.049805,10772.650391,10772.650391,0
2018-07-09,10838.299805,10860.349609,10807.150391,10852.900391,10852.900391,183600
2018-07-10,10902.750000,10956.900391,10876.650391,10947.250000,10947.250000,197000
2018-07-11,10956.400391,10976.650391,10923.000000,10948.299805,10948.299805,222300
2018-07-12,11006.950195,11078.299805,10999.650391,11023.200195,11023.200195,248300
2018-07-13,11056.900391,11071.349609,10999.750000,11018.900391,11018.900391,0
2018-07-16,11018.950195,11019.500000,10926.250000,10936.849609,10936.849609,210500
2018-07-17,10939.650391,11018.500000,10925.599609,11008.049805,11008.049805,210600
2018-07-18,11060.200195,11076.200195,10956.299805,10980.450195,10980.450195,225500
2018-07-19,10999.500000,11006.500000,10935.450195,10957.099609,10957.099609,215400
2018-07-20,10963.500000,11030.250000,10946.200195,11010.200195,11010.200195,187300
2018-07-23,11019.849609,11093.400391,11010.950195,11084.750000,11084.750000,229100
2018-07-24,11109.000000,11143.400391,11092.500000,11134.299805,11134.299805,205800
2018-07-25,11148.400391,11157.150391,11113.250000,11132.000000,11132.000000,205900
2018-07-26,11132.950195,11185.849609,11125.700195,11167.299805,11167.299805,365400
2018-07-27,11232.750000,11283.400391,11210.250000,11278.349609,11278.349609,314600
2018-07-30,11296.650391,11328.099609,11261.450195,11319.549805,11319.549805,278800
2018-07-31,11311.049805,11366.000000,11267.750000,11356.500000,11356.500000,256500
2018-08-01,11359.799805,11390.549805,11313.549805,11346.200195,11346.200195,269700
2018-08-02,11328.900391,11328.900391,11234.950195,11244.700195,11244.700195,210000
2018-08-03,11297.799805,11368.000000,11294.549805,11360.799805,11360.799805,218300
2018-08-06,11401.500000,11427.650391,11370.599609,11387.099609,11387.099609,203700
2018-08-07,11423.150391,11428.950195,11359.700195,11389.450195,11389.450195,226400
2018-08-08,11412.500000,11459.950195,11379.299805,11450.000000,11450.000000,210500
2018-08-09,11493.250000,11495.200195,11454.099609,11470.700195,11470.700195,302200
2018-08-10,11474.950195,11478.750000,11419.650391,11429.500000,11429.500000,0
2018-08-13,11369.599609,11406.299805,11340.299805,11355.750000,11355.750000,246900
2018-08-14,11381.700195,11452.450195,11370.799805,11435.099609,11435.099609,232600
2018-08-16,11397.150391,11449.849609,11366.250000,11385.049805,11385.049805,290600
2018-08-17,11437.150391,11486.450195,11431.799805,11470.750000,11470.750000,234700
2018-08-20,11502.099609,11565.299805,11499.650391,11551.750000,11551.750000,232600
2018-08-21,11576.200195,11581.750000,11539.599609,11570.900391,11570.900391,224200
2018-08-23,11620.700195,11620.700195,11546.700195,11582.750000,11582.750000,248500
2018-08-24,11566.599609,11604.599609,11532.000000,11557.099609,11557.099609,218800
2018-08-27,11605.849609,11700.950195,11595.599609,11691.950195,11691.950195,199500
2018-08-28,11731.950195,11760.200195,11710.500000,11738.500000,11738.500000,241900
2018-08-29,11744.950195,11753.200195,11678.849609,11691.900391,11691.900391,251600
2018-08-30,11694.750000,11698.799805,11639.700195,11676.799805,11676.799805,313800
2018-08-31,11675.849609,11727.650391,11640.099609,11680.500000,11680.500000,346500
2018-09-03,11751.799805,11751.799805,11567.400391,11582.349609,11582.349609,234400
2018-09-04,11598.750000,11602.549805,11496.849609,11520.299805,11520.299805,254800
2018-09-05,11514.849609,11542.650391,11393.849609,11476.950195,11476.950195,246100
2018-09-06,11514.150391,11562.250000,11436.049805,11536.900391,11536.900391,247900
2018-09-07,11558.250000,11603.000000,11484.400391,11589.099609,11589.099609,295900
2018-09-10,11570.250000,11573.000000,11427.299805,11438.099609,11438.099609,286700
2018-09-11,11476.849609,11479.400391,11274.000000,11287.500000,11287.500000,0
2018-09-12,11340.099609,11380.750000,11250.200195,11369.900391,11369.900391,268200
2018-09-14,11443.500000,11523.250000,11430.549805,11515.200195,11515.200195,276600
2018-09-17,11464.950195,11464.950195,11366.900391,11377.750000,11377.750000,201400
2018-09-18,11381.549805,11411.450195,11268.950195,11278.900391,11278.900391,240900
2018-09-19,11326.650391,11332.049805,11210.900391,11234.349609,11234.349609,250600
2018-09-21,11271.299805,11346.799805,10866.450195,11143.099609,11143.099609,719000
2018-09-24,11164.400391,11170.150391,10943.599609,10967.400391,10967.400391,0
2018-09-25,10969.950195,11080.599609,10882.849609,11067.450195,11067.450195,405000
2018-09-26,11145.549805,11145.549805,10993.049805,11053.799805,11053.799805,340500
2018-09-27,11079.799805,11089.450195,10953.349609,10977.549805,10977.549805,405700
2018-09-28,11008.099609,11034.099609,10850.299805,10930.450195,10930.450195,478100
2018-10-01,10930.900391,11035.650391,10821.549805,11008.299805,11008.299805,387000
2018-10-03,10982.700195,10989.049805,10843.750000,10858.250000,10858.250000,386800
2018-10-04,10754.700195,10754.700195,10547.250000,10599.250000,10599.250000,425100
2018-10-05,10514.099609,10540.650391,10261.900391,10316.450195,10316.450195,606400
2018-10-08,10310.150391,10398.349609,10198.400391,10348.049805,10348.049805,456200
2018-10-09,10390.299805,10397.599609,10279.349609,10301.049805,10301.049805,430500
2018-10-10,10331.849609,10482.349609,10318.250000,10460.099609,10460.099609,0
2018-10-11,10169.799805,10335.950195,10138.599609,10234.650391,10234.650391,483500
2018-10-12,10331.549805,10492.450195,10322.150391,10472.500000,10472.500000,343500
2018-10-15,10524.200195,10526.299805,10410.150391,10512.500000,10512.500000,259500
2018-10-16,10550.150391,10604.900391,10525.299805,10584.750000,10584.750000,265200
2018-10-17,10688.700195,10710.150391,10436.450195,10453.049805,10453.049805,284800
2018-10-19,10339.700195,10380.099609,10249.599609,10303.549805,10303.549805,357500
2018-10-22,10405.849609,10408.549805,10224.000000,10245.250000,10245.250000,297300
2018-10-23,10152.599609,10222.099609,10102.349609,10146.799805,10146.799805,302600
2018-10-24,10278.150391,10290.650391,10126.700195,10224.750000,10224.750000,351400
2018-10-25,10135.049805,10166.599609,10079.299805,10124.900391,10124.900391,0
2018-10-26,10122.349609,10128.849609,10004.549805,10030.000000,10030.000000,364300
2018-10-29,10078.099609,10275.299805,10020.349609,10250.849609,10250.849609,364400
2018-10-30,10239.400391,10285.099609,10175.349609,10198.400391,10198.400391,289800
2018-10-31,10209.549805,10396.000000,10105.099609,10386.599609,10386.599609,375000
2018-11-01,10441.700195,10441.900391,10341.900391,10380.450195,10380.450195,348500
2018-11-02,10462.299805,10606.950195,10457.700195,10553.000000,10553.000000,421200
2018-11-05,10558.750000,10558.799805,10477.000000,10524.000000,10524.000000,301900
2018-11-06,10552.000000,10600.250000,10491.450195,10530.000000,10530.000000,0
2018-11-07,10614.450195,10616.450195,10582.299805,10598.400391,10598.400391,31200
2018-11-09,10614.700195,10619.549805,10544.849609,10585.200195,10585.200195,296600
2018-11-12,10607.799805,10645.500000,10464.049805,10482.200195,10482.200195,259700
2018-11-13,10451.900391,10596.250000,10440.549805,10582.500000,10582.500000,254600
2018-11-14,10634.900391,10651.599609,10532.700195,10576.299805,10576.299805,384500
2018-11-15,10580.599609,10646.500000,10557.500000,10616.700195,10616.700195,0
2018-11-16,10644.000000,10695.150391,10631.150391,10682.200195,10682.200195,342800
2018-11-19,10731.250000,10774.700195,10688.799805,10763.400391,10763.400391,272100
2018-11-20,10740.099609,10740.849609,10640.849609,10656.200195,10656.200195,295200
2018-11-21,10670.950195,10671.299805,10562.349609,10600.049805,10600.049805,300900
2018-11-22,10612.650391,10646.250000,10512.000000,10526.750000,10526.750000,239500
2018-11-26,10568.299805,10637.799805,10489.750000,10628.599609,10628.599609,0
2018-11-27,10621.450195,10695.150391,10596.349609,10685.599609,10685.599609,0
2018-11-28,10708.750000,10757.799805,10699.849609,10728.849609,10728.849609,424500
2018-11-29,10808.700195,10883.049805,10782.349609,10858.700195,10858.700195,691300
2018-11-30,10892.099609,10922.450195,10835.099609,10876.750000,10876.750000,453900
2018-12-03,10930.700195,10941.200195,10845.349609,10883.750000,10883.750000,409700
2018-12-04,10877.099609,10890.950195,10833.349609,10869.500000,10869.500000,322100
2018-12-05,10820.450195,10821.049805,10747.950195,10782.900391,10782.900391,312300
2018-12-06,10718.150391,10722.650391,10588.250000,10601.150391,10601.150391,318500
2018-12-07,10644.799805,10704.549805,10599.349609,10693.700195,10693.700195,325800
2018-12-10,10508.700195,10558.849609,10474.950195,10488.450195,10488.450195,381300
2018-12-11,10350.049805,10567.150391,10333.849609,10549.150391,10549.150391,425500
2018-12-12,10591.000000,10752.200195,10560.799805,10737.599609,10737.599609,360500
2018-12-13,10810.750000,10838.599609,10749.500000,10791.549805,10791.549805,376200
2018-12-14,10784.500000,10815.750000,10752.099609,10805.450195,10805.450195,340100
2018-12-17,10853.200195,10900.349609,10844.849609,10888.349609,10888.349609,296900
2018-12-18,10850.900391,10915.400391,10819.099609,10908.700195,10908.700195,286100
2018-12-19,10930.549805,10985.150391,10928.000000,10967.299805,10967.299805,312100
2018-12-20,10885.200195,10962.549805,10880.049805,10951.700195,10951.700195,318900
